Time,Chao_Number,Tone
0.009874257,2.755004161,1
0.022825291,2.750684277,1
0.035773146,2.733025804,1
0.048722148,2.720179833,1
0.06258116,2.683031356,1
0.074128569,2.690395369,1
0.087571061,2.689637494,1
0.099411643,2.657700194,1
0.113469363,2.665196045,1
0.126417363,2.648143871,1
0.139364007,2.62540764,1
0.1531259,2.603021196,1
0.165260142,2.591871698,1
0.178206922,2.569703872,1
0.191158444,2.567430248,1
0.20410891,2.56072306,1
0.217056205,2.540715176,1
0.230003527,2.520820973,1
0.242952761,2.508947608,1
0.255899968,2.488573418,1
0.268848925,2.475537978,1
0.281799481,2.469209727,1
0.294750841,2.466254017,1
0.307703176,2.467390828,1
0.320654157,2.462843582,1
0.333600666,2.439538944,1
0.346548665,2.42248677,1
0.35949951,2.417371118,1
0.372451574,2.417371118,1
0.385403639,2.417371118,1
0.398355703,2.417371118,1
0.41130709,2.414529089,1
0.424256851,2.404866191,1
0.437208915,2.404866191,1
0.45016098,2.404866191,1
0.463113044,2.404866191,1
0.476061857,2.391224452,1
0.489011617,2.381561553,1
0.50196043,2.367919814,1
0.514911275,2.362804162,1
0.527861442,2.354846481,1
0.540814726,2.359962133,1
0.553768552,2.367351408,1
0.566720616,2.367351408,1
0.579672681,2.367351408,1
0.592624745,2.367351408,1
0.605576809,2.367351408,1
0.618526299,2.356551698,1
0.631473215,2.334952278,1
0.644421079,2.317331698,1
0.657553832,2.315407863,1
0.67032207,2.304168617,1
0.683274833,2.307100394,1
0.695218381,2.310186025,1
0.709078311,2.296490152,1
0.722122761,2.27242764,1
0.73507347,2.266743582,1
0.74802147,2.249691408,1
0.760969876,2.234344452,1
0.773279731,2.199977763,1
0.787014713,2.166022075,1
0.80062043,2.1470723,1
0.812260358,2.12037909,1
0.825900955,2.079002491,1
0.838642426,2.067233148,1
0.851290686,2.027634211,1
0.864979017,1.98162249,1
0.877741105,1.944588667,1
0.890414642,1.916037206,1
0.903359931,1.887616916,1
0.916305085,1.858628221,1
0.928432667,1.819539391,1
0.942191735,1.785303873,1
0.955137567,1.759157207,1
0.96632068,1.747575938,1
