Time,Chao_Number,Tone
0.010325352,2.530445366,5
0.022013945,2.466736331,5
0.032783305,2.393979548,5
0.044063305,2.353007521,5
0.053190245,2.287172755,5
0.064350509,2.248554597,5
0.075280774,2.172830314,5
0.087111105,2.132189299,5
0.100376925,2.076327641,5
0.11300755,2.027743903,5
0.125471555,1.973446192,5
0.139201548,1.94388909,5
0.153149362,1.887251513,5
0.164164378,1.836934066,5
0.17405966,1.786440685,5
0.18674657,1.759299308,5
0.198252022,1.700421941,5
0.211094962,1.649421452,5
0.223340462,1.590942527,5
0.236602255,1.553697458,5
0.250307571,1.502948294,5
0.262850298,1.459702086,5
0.275451808,1.409621078,5
0.288331832,1.375614465,5
0.301549896,1.351610251,5
0.314493288,1.31523228,5
0.32713716,1.257226468,5
0.340380073,1.242476338,5
0.353324144,1.208940396,5
0.366267807,1.173699237,5
0.379213368,1.146415758,5
0.392164348,1.141868512,5
0.405113974,1.131637208,5
0.418062786,1.117995469,5
0.431013766,1.113448222,5
0.443963392,1.103216918,5
0.456911528,1.086739466,5
0.469861468,1.077828126,5
0.482812291,1.072617739,5
0.495763038,1.067091572,5
0.508714816,1.065891604,5
0.521664417,1.05555925,5
0.53461619,1.05433402,5
0.54756839,1.054902425,5
0.586421466,1.041829092,5
0.599374005,1.043818512,5
0.612326679,1.046376338,5
0.624245738,1.071252451,5
0.638245306,1.107195759,5
0.651473918,1.091253329,5
0.664148418,1.102932715,5
0.677106241,1.127089961,5
0.690065555,1.157499671,5
0.703023852,1.183646338,5
0.71598364,1.216045468,5
0.728942682,1.245318367,5
0.741904502,1.286243584,5
0.754868151,1.33484228,5
0.768017962,1.384475075,5
0.780799854,1.450512859,5
0.794054058,1.532522448,5
0.814984912,1.612887448,5
0.832682702,1.76342025,5
0.845653871,1.843565467,5
0.858627479,1.933941989,5
0.871597632,2.009824163,5
0.884571511,2.101337496,5
0.897550269,2.213313437,5
0.911492877,2.3272788,5
0.923789279,2.442083237,5
0.936767604,2.552245694,5
0.950371163,2.619534113,5
0.963041538,2.702537835,5
0.975064068,2.82091555,5
1.009114844,3.09621004,5
0.826387653,1.683544304,5
0.804909401,1.582278481,5
0.559255292,1.063291139,5
0.573555016,1.050632911,5
0.986391274,2.898734177,5
0.995950574,3,5
