Time,Pitch,Tone
0.010122739,127.870009,1
0.036335093,127.9038385,1
0.062548889,127.9038385,1
0.088762684,127.9038385,1
0.11497648,127.9038385,1
0.141190276,127.9038385,1
0.167404071,127.9038385,1
0.193617867,127.9038385,1
0.219833104,127.870009,1
0.246050742,127.7797972,1
0.272265499,127.7572442,1
0.298483617,127.6557559,1
0.324697413,127.6557559,1
0.350911209,127.6557559,1
0.377125004,127.6557559,1
0.4033388,127.6557559,1
0.429552596,127.6557559,1
0.455766391,127.6557559,1
0.481980187,127.6557559,1
0.508193983,127.6557559,1
0.534407778,127.6557559,1
0.560621574,127.6557559,1
0.586832487,127.7234148,1
0.613050126,127.6332029,1
0.639269686,127.4978851,1
0.69170064,127.4189498,1
0.717914916,127.4076733,1
0.744135276,127.2535614,1
0.770352114,127.1821437,1
0.79659281,126.5506607,1
0.822829663,126.0093896,1
0.8490718,125.3440772,1
0.87531874,124.566,1
0.901573847,123.5962227,1
0.927835198,122.479851,1
0.954105677,121.1492263,1
0.980384802,119.6156248,1
0.994721184,118.7247828,1
0.665344318,127.383592,1
