Time,Pitch,Tone
0.030472048,103.5899003,3
0.043048904,103.7634269,3
0.061267714,103.9872976,3
0.074197192,104.1758203,3
0.086891589,104.4146872,3
0.099821067,104.6289175,3
0.112750545,104.92884,3
0.125680023,105.218051,3
0.138609501,105.5608196,3
0.151538979,105.9142997,3
0.164468457,106.3106258,3
0.177397935,106.8462017,3
0.190327413,107.4246237,3
0.203256891,107.9816226,3
0.216186369,108.8064095,3
0.229115847,109.8668498,3
0.242045325,111.3664623,3
0.254974803,113.5087658,3
0.266141171,116.1411213,3
0.274956724,118.9395054,3
0.283184574,121.7168489,3
0.29082472,124.3595334,3
0.297877162,126.8338941,3
0.305517308,129.3755842,3
0.313745158,132.1529278,3
0.321973008,134.9302713,3
0.329613154,137.5364857,3
0.3372533,140.0809812,3
0.34548115,142.8751572,3
0.353708999,145.6721385,3
0.361349145,148.1998017,3
0.368989292,150.7527134,3
0.377217141,153.5637218,3
0.386032694,156.2611115,3
0.397199062,158.575692,3
0.41012854,160.4787717,3
0.423058018,161.7427308,3
0.434224385,162.5795681,3
