Time,Pitch,Tone
0.085809085,101.2975712,3
0.124858538,98.82184898,3
0.16167168,96.85834319,3
0.198312797,95.18856017,3
0.233508913,93.81679818,3
0.271285389,92.54286648,3
0.306687933,91.44628826,3
0.3486962,89.89498408,3
0.384098745,88.65525736,3
0.427448799,87.20239428,3
0.464089916,86.49611076,3
0.496602457,86.20479161,3
0.534791791,86.10337284,3
0.574013269,87.00164931,3
0.604461521,88.68422809,3
0.640457548,91.08898964,3
0.675679468,93.63177573,3
0.707528487,96.40038628,3
0.746012719,99.11853286,3
0.780073476,101.4141346,3
0.815018928,104.1104304,3
0.85527255,107.0164716,3
0.895526172,109.6865538,3
0.931444788,110.9477386,3
0.974264026,110.3320055,3
0.994612011,109.0006001,3
0.833590139,105.5615172,3
0.405238829,87.85495071,3
0.953775039,111.091289,3
0.869029276,108.1741773,3
0.724191063,97.88944002,3
0.688751926,94.94801275,3
0.620955316,89.88555628,3
0.365177196,89.35415919,3
0.24807396,93.35711421,3
0.177195686,96.02220487,3
0.143297381,97.51837389,3
0.143297381,97.51837389,3
0.104776579,100.4962746,3
