Time,Pitch,Tone
0.092311593,107.4800312,2
0.13690022,106.4504971,2
0.195732437,105.7607986,2
0.265402167,106.6348833,2
0.296366492,107.6932269,2
0.362939789,110.5508948,2
0.40876699,113.2536222,2
0.480604223,118.1182788,2
0.533243575,122.5079002,2
0.570400764,125.7269344,2
0.661229449,133.8305951,2
0.694258062,135.5761346,2
0.716486903,135.7014585,2
0.747303544,136.179412,2
0.734976888,136.1854908,2
0.630200308,131.6344218,2
0.594761171,128.3642274,2
0.610169492,129.8360808,2
0.506933744,120.1883614,2
0.453004622,116.2697511,2
0.432973806,114.3070266,2
0.328197227,108.440889,2
0.229583975,105.8593832,2
0.167950693,106.0541613,2
0.389830508,112.1913165,2
0.551617874,124.1115309,2
0.081664099,107.5761656,2
0.114021572,106.9026743,2
