Time,Chao_Number,Tone
0.010543019,4.819546852,3
0.022307051,4.810476809,3
0.036270236,4.8183172,3
0.049222108,4.817511959,3
0.061075955,4.820639544,3
0.075134017,4.850147925,3
0.08817057,4.824621195,3
0.101030876,4.819650247,3
0.113982923,4.819580324,3
0.127423506,4.810814244,3
0.139389473,4.79034032,3
0.152832635,4.79239158,3
0.165784978,4.79355997,3
0.178734393,4.782444479,3
0.19168599,4.780486637,3
0.204638454,4.782160276,3
0.217587975,4.771493194,3
0.230539443,4.768992208,3
0.244120888,4.749540099,3
0.25643758,4.743856041,3
0.269388832,4.740445606,3
0.282341197,4.74170873,3
0.295293532,4.742845542,3
0.308245507,4.742466605,3
0.321193973,4.727372273,3
0.333748464,4.706033372,3
0.347090191,4.694186848,3
0.360039958,4.684549212,3
0.373454771,4.650000876,3
0.385480875,4.641164061,3
0.39979293,4.604745389,3
0.410721354,4.588096274,3
0.424692157,4.560271074,3
0.437844137,4.520794484,3
0.451185316,4.479204408,3
0.464190845,4.456516648,3
0.476550262,4.440087352,3
0.488857529,4.394861267,3
0.502440083,4.3800637,3
0.515932414,4.341407054,3
0.529067035,4.29265685,3
0.54064451,4.245613459,3
0.553646725,4.196025205,3
0.562252481,4.141223471,3
0.573685949,4.111250389,3
0.58550435,4.054868218,3
0.596101259,3.952786083,3
0.607923413,3.892287098,3
0.61940319,3.812358307,3
0.630705435,3.744847329,3
0.669494837,3.464658797,3
0.688298323,3.314141587,3
0.707193536,3.151498621,3
0.723616263,3.017109076,3
0.733787079,2.907433052,3
0.744705125,2.84724692,3
0.752773423,2.735065749,3
0.763726995,2.686705919,3
0.772692025,2.595406959,3
0.783778967,2.54917252,3
0.787742908,2.459777938,3
0.798424537,2.434236738,3
0.802951935,2.325175698,3
0.67900605,3.417721519,3
0.700417918,3.240506329,3
0.64093179,3.696202532,3
0.651640742,3.620253165,3
0.663541588,3.544303797,3
