Time,Pitch,Tone
0.046856936,158.1921635,1
0.059755108,159.4957968,1
0.072653279,160.6605184,1
0.085551451,161.6970138,1
0.098449623,162.5945974,1
0.111347795,163.3318982,1
0.124245966,164.0157714,1
0.137144138,164.3470225,1
0.15004231,164.6569025,1
0.162940482,164.6141605,1
0.175838654,164.3897646,1
0.188736825,163.8554886,1
0.201634997,162.9044774,1
0.214533169,161.6756427,1
0.227431341,160.2330977,1
0.240329513,158.4272449,1
0.253227684,156.2367135,1
0.265539576,153.8723644,1
0.276678906,151.2568659,1
0.287231956,148.7319173,1
0.297198725,146.0480711,1
0.306579213,143.3372885,1
0.314787141,140.5889582,1
0.321822507,137.9377622,1
0.328271593,135.2413783,1
0.334134398,132.6601843,1
0.340583484,129.9711141,1
0.347618851,127.0260663,1
0.354067937,124.6203998,1
0.361103303,121.9606215,1
0.369311231,119.2543866,1
0.378398579,116.692279,1
0.040435835,157.4271845,1
